STR_NR;AverageAnualTFlow
6398;39689
6399;65162.88889
6400;56373.2
6401;64865.6
6402;66853.83333
6403;61756.53846
6404;99371.625
6405;33561
6406;84254.92
6408;72764.33333
6409;75823.33333
6410;56961.2
6411;75118.62264
6414;48649
6415;49588
6417;50269.2
6419;58855.6
6420;43303.875
6421;35601.25
6422;39658
6423;52041
6425;49070.66667
6427;46554
6428;41177.66667
6430;65255
6434;118806.25
6435;98213
6441;41110.78947
6442;54745.33333
6444;34649
6445;35588.83333
6446;44548.69231
6500;109456.3333
6507;55396.6
6511;48623.33333
6512;56441.75
6519;111990.5
6520;86573.33333
6521;47215
6533;60724
6543;33519
6588;38247
6589;35647
6605;94124
6606;50548
6607;86374.33333
6614;37053.33333
6619;47928.25
6620;67750
6641;41213.5
6644;58590.5
6645;54960.75
6648;37617
6650;66234.55556
6680;73473
6681;30096
6684;43241.5
6686;36805
6694;33691.5
6697;56059.5
6698;30461
6702;56947
6707;55113
6710;44494
6711;66952
6713;32904
6715;37982
6721;47971.33333
6726;74016
6751;35120
6752;36523.25
6758;50739
6759;40139
6764;43820.5
6807;71213
6810;62621
6812;98715.33333
6822;60780
6826;54444
6830;38211
6835;62795
6843;47717
6845;42965
6851;33470.5
6854;45081
6855;51210
6856;65208.66667
6865;33556
6866;43444
6876;55754
6880;80760.5
6888;57141
6894;55319.5
6899;75086.625
6921;69442.33333
6924;38917
6925;31555
6926;36533
6928;61117.5
6929;38917
6932;48690
6933;44393
6935;47359
6938;47178
6939;38296.25
6941;60336
6949;31555
9121;53851.53846
9122;45990
